"Newspaper","Daily","Sunday"
"Baltimore Sun",391.952,488.506
"Boston Globe",516.981,798.298
"Boston Herald",355.628,235.084
"Charlotte Observer",238.555,299.451
"Chicago Sun-Times",537.78,559.093
"Chicago Tribune",733.775,1133.249
"Cincinnati Enquirer",198.832,348.744
"Denver Post",252.624,417.779
"Des Moines Register",206.204,344.522
"Hartford Courant",231.177,323.084
"Houston Chronicle",449.755,620.752
"Kansas City Star",288.571,423.305
"Los Angeles Daily News",185.736,202.614
"Los Angeles Times",1164.388,1531.527
"Miami Herald",444.581,553.479
"Minneapolis Star-Tribune",412.871,685.975
"New Orleans Times-Picayune",272.28,324.241
"New York Daily News",781.796,983.24
"New York Times",1209.225,1762.015
"Newsday",825.512,960.308
"Omaha World Herald",223.748,284.611
"Orange County Register",354.843,407.76
"Philadelphia Inquirer",515.523,982.663
"Pittsburgh Press",220.465,557
"Portland Oregonian",337.672,440.923
"Providence Journal Bulletin",197.12,268.06
"Rochester Democrat Chronicle",133.239,262.048
"Rocky Mountain News",374.009,432.502
"Sacramento Bee",273.844,338.355
"San Francisco Chronicle",570.364,704.322
"St Louis Post-Dispatch",391.286,585.681
"St. Paul Pioneer Press",201.86,267.781
"Tampa Tribune",321.626,408.343
"Washington Post",838.902,1165.567
